,name,details.link,details.line,details.Layout,details.latitude,details.longitude
0,Adarsh Nagar,https://en.wikipedia.org/wiki/Adarsh_Nagar_(Delhi_Metro),Yellow Line,Elevated,28.718104,77.169385
1,AIIMS,https://en.wikipedia.org/wiki/AIIMS_(Delhi_Metro),Yellow Line,Underground,28.56667,77.208083
2,Akshardham,https://en.wikipedia.org/wiki/Akshardham_(Delhi_Metro),Blue Line,Elevated,28.618216,77.279248
3,Anand Vihar ISBT,https://en.wikipedia.org/wiki/Anand_Vihar_(Delhi_Metro),Blue Line branch,Elevated,28.647328,77.316091
4,Arjan Garh,https://en.wikipedia.org/wiki/Arjan_Garh_(Delhi_Metro),Yellow Line,Elevated,28.480796,77.125772
5,Arthala,https://en.wikipedia.org/wiki/Arthala_metro_station,Red Line,Elevated,28.6729,77.3917
6,Ashok Park Main,https://en.wikipedia.org/wiki/Ashok_Park_Main_(Delhi_Metro),Green Line,Elevated,28.671603,77.155011
7,Ashram,https://en.wikipedia.org/wiki/Ashram_metro_station,Pink Line,Underground,28.5723975,77.2584365
8,Azadpur,https://en.wikipedia.org/wiki/Azadpur_(Delhi_Metro),Yellow Line,Elevated,28.707273,77.179974
9,Badarpur Border,https://en.wikipedia.org/wiki/Badarpur_(Delhi_Metro),Violet Line,Elevated,28.4936,77.3031
10,Badkhal Mor,https://en.wikipedia.org/wiki/Badkhal_Mor_metro_station,Violet Line,Elevated,28.42278,77.31028
11,Bahadurgarh City,https://en.wikipedia.org/wiki/Bahadurgarh_City_metro_station,Green Line,Elevated,28.690777,76.935277
12,Barakhambha Road,https://en.wikipedia.org/wiki/Barakhamba_Road_(Delhi_Metro),Blue Line,Underground,28.630689,77.223582
13,Bata Chowk,https://en.wikipedia.org/wiki/Bata_Chowk_metro_station,Violet Line,Elevated,28.386052028,77.313441
14,Bhikaji Cama Place,https://en.wikipedia.org/wiki/Bhikaji_Cama_Place_metro_station,Pink Line,Underground,28.5702753,77.186772
15,Botanical Garden,https://en.wikipedia.org/wiki/Botanical_Garden_(Delhi_Metro),Blue Line,Elevated,28.564208,77.334781
16,Brigadier Hoshiyar Singh,https://en.wikipedia.org/wiki/Brigadier_Hoshiyar_Singh_metro_station,Green Line,Elevated,28.697357,76.919388
17,Central Secretariat,https://en.wikipedia.org/wiki/Central_Secretariat_(Delhi_Metro),Yellow Line,Underground,28.615042,77.211785
18,Chandni Chowk,https://en.wikipedia.org/wiki/Chandni_Chowk_(Delhi_Metro),Yellow Line,Underground,28.657838,77.230169
19,Chawri Bazar,https://en.wikipedia.org/wiki/Chawri_Bazar_(Delhi_Metro),Yellow Line,Underground,28.649564,77.226226
20,Chhatarpur,https://en.wikipedia.org/wiki/Chhatarpur_(Delhi_Metro),Yellow Line,Elevated,28.506552,77.174926
21,Chirag Delhi,https://en.wikipedia.org/wiki/Chirag_Delhi_metro_station,Magenta Line,Underground,28.541183,77.231221
22,Civil Lines,https://en.wikipedia.org/wiki/Civil_Lines_(Delhi_Metro),Yellow Line,Underground,28.676921,77.224998
23,Dabri Mor-Janakpuri South,https://en.wikipedia.org/wiki/Dabri_Mor_Metro_Station,Magenta Line,Underground,28.6156417,77.0846446
24,Dashrath Puri,https://en.wikipedia.org/wiki/Dashrath_Puri_metro_station,Magenta Line,Underground,28.601559,77.0820032
