,size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName,closest_mtero_station_km
0,400,Independent Floor,1,28.64101028,77.28438568,Swasthya Vihar,Delhi East,Delhi,9000,Dream Homez,0.5774954877337471
1,1050,Apartment,2,28.594968800000004,77.29866791,mayur vihar phase 1,Delhi East,Delhi,20000,Rupak Properties Stock,0.4171422829515301
2,2250,Independent Floor,2,28.64180565,77.29392242,Swasthya Vihar,Delhi East,Delhi,28000,Aashiyana Real Estate,0.12513604337942222
3,1350,Independent Floor,2,28.644363399999996,77.29322815,Krishna Nagar,Delhi East,Delhi,28000,Shivam Real Estate,0.3717094233466808
4,450,Apartment,2,28.594736100000002,77.3111496,New Ashok Nagar,Delhi East,Delhi,12500,Shree Properties,1.0877595201452737
5,600,Independent House,2,28.59246445,77.30516052,New Ashok Nagar,Delhi East,Delhi,10000,Golden Properties,0.523298135471761
6,600,Independent Floor,2,28.59350014,77.30554962,New Ashok Nagar,Delhi East,Delhi,12000,Welcome Properties,0.6367520849371796
7,900,Independent Floor,2,28.60354614,77.29105377,mayur vihar phase 1,Delhi East,Delhi,15500,Akash Properties,0.21467791922184382
8,680,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,13000,Shivam Properties,0.07432568396122434
9,360,Independent Floor,1,28.59085655,77.30525208,New Ashok Nagar,Delhi East,Delhi,8500,Anand Properties,0.4129972353407347
10,700,Independent Floor,2,28.65325928,77.3010788,Anand Vihar,Delhi East,Delhi,11000,Tanya Associates,0.5241955668161172
11,1000,Independent House,2,28.63734245,77.2937088,Preet Vihar,Delhi East,Delhi,14000,BK Associates,0.4672773739167697
12,1080,Independent Floor,3,28.70030022,77.27118683,Shahdara,Delhi East,Delhi,15000,Hans Properties,1.229942032271067
13,3000,Independent Floor,3,28.67783928,77.27918243,Shahdara,Delhi East,Delhi,100000,Aaditya properties,0.6531285095215487
14,450,Independent House,1,28.60077286,77.29862213,mayur vihar phase 1,Delhi East,Delhi,9500,Prince Associates,0.5597619893085555
15,500,Independent House,1,28.62866592,77.28993988,Mandawali,Delhi East,Delhi,15000,JV Associates,1.0059405625556184
16,1000,Independent Floor,2,28.64483261,77.28631592,Krishna Nagar,Delhi East,Delhi,16000,Arora Properties,0.8313107273875013
17,390,Independent House,1,28.59199524,77.30540466,New Ashok Nagar,Delhi East,Delhi,8500,Aradhya Properties,0.5022209713647976
18,1200,Independent Floor,1,28.60893822,77.29997253,mayur vihar phase 1,Delhi East,Delhi,6500,Room Soom,0.3650668546879474
19,800,Independent House,2,28.62464523,77.29869843,Mandawali,Delhi East,Delhi,22000,Nestaway Technologies Pvt Ltd,0.559762639285332
20,1700,Apartment,3,28.61636162,77.29469299,Mayur Vihar II,Delhi East,Delhi,31000,Guru Ji Associates,1.1125070559387191
21,900,Independent Floor,2,28.64962387,77.28536987,Krishna Nagar,Delhi East,Delhi,25000,Delli Property,1.1090071166668438
22,900,Independent Floor,2,28.70093918,77.27210236,Shahdara,Delhi East,Delhi,16000,CK Home Solutions,1.2270524634501128
23,600,Independent House,2,28.59277916,77.30582428,New Ashok Nagar,Delhi East,Delhi,10000,Golden Properties,0.5927038519384734
24,1150,Independent Floor,1,28.64489555,77.29406738,Krishna Nagar,Delhi East,Delhi,30000,Shivam Real Estate,0.39437697610686684
25,600,Independent Floor,2,28.59338951,77.30564117,New Ashok Nagar,Delhi East,Delhi,12000,Welcome Properties,0.6324197292875421
26,1800,Independent Floor,2,28.64218521,77.28700256,Swasthya Vihar,Delhi East,Delhi,32000,Aashiyana Real Estate,0.5322105194913292
27,430,Apartment,1,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,15500,Shivam Properties,0.07432568396122434
28,350,Independent Floor,1,28.60773659,77.28911591,mayur vihar phase 1,Delhi East,Delhi,6000,Akash Properties,0.3324253160127491
29,1000,Independent Floor,3,28.64699745,77.29216003,Krishna Nagar,Delhi East,Delhi,14000,BK Associates,0.678887667356849
30,300,Independent Floor,1,28.59229279,77.30554962,New Ashok Nagar,Delhi East,Delhi,6500,Shree Properties,0.5353413575261438
31,1200,Apartment,2,28.61462402,77.31215668,Mayur Vihar II,Delhi East,Delhi,32000,Rupak Properties Stock,0.39560647377232616
32,270,Independent Floor,1,28.59300041,77.3061676,New Ashok Nagar,Delhi East,Delhi,5200,Anand Properties,0.6336308141604147
33,450,Independent Floor,1,28.61180305,77.28953552,mayur vihar phase 1,Delhi East,Delhi,12350,Prince Associates,0.7827237971025872
34,1200,Independent Floor,3,28.64507866,77.29383087,Krishna Nagar,Delhi East,Delhi,28000,Arora Properties,0.4204412288993334
35,900,Independent Floor,3,28.64223671,77.28492737,Swasthya Vihar,Delhi East,Delhi,15000,Dream Homez,0.6381800465176604
36,1800,Independent Floor,2,28.630399699999998,77.28824615,Preet Vihar,Delhi East,Delhi,40000,Shivam Real Estate,0.8119874260219068
37,500,Independent Floor,1,28.64478874,77.29419708,Krishna Nagar,Delhi East,Delhi,15000,Aashiyana Real Estate,0.3796945843630725
38,1000,Apartment,2,28.595540999999997,77.29873657,Mayur Vihar,Delhi East,Delhi,20000,Rupak Properties Stock,0.44091561782569233
39,320,Apartment,1,28.60957527,77.29814911,Mayur Vihar,Delhi East,Delhi,9500,Shivam Properties,0.42028318476393944
40,650,Apartment,2,28.59089279,77.30477142,New Ashok Nagar,Delhi East,Delhi,15000,Golden Properties,0.37624959766750404
41,1300,Independent Floor,2,28.63890648,77.29301453,Preet Vihar,Delhi East,Delhi,30000,BK Associates,0.35182255820875263
42,650,Independent House,2,28.59737015,77.30036926,Trilokpuri,Delhi East,Delhi,12300,Prince Associates,0.6737564973658646
43,500,Independent Floor,1,28.59358978,77.30573273,New Ashok Nagar,Delhi East,Delhi,8000,Welcome Properties,0.6554646810569862
44,500,Apartment,1,28.60833931,77.29308319,Mayur Vihar,Delhi East,Delhi,17500,Akash Properties,0.5419934057027894
45,1000,Independent Floor,2,28.64037704,77.2943573,Preet Vihar,Delhi East,Delhi,12000,Arora Properties,0.14306412984172429
46,360,Independent Floor,1,28.59336472,77.30607605,New Ashok Nagar,Delhi East,Delhi,8000,Anand Properties,0.6573498722522524
