iter	MAE	RMSE
0	15077.27704	29763.51354
1	14064.55796	28335.8673
2	13125.60716	26986.73251
3	12364.45452	25824.97684
4	11736.75241	24842.73743
5	11188.78832	23938.99446
6	10698.51051	23120.36946
7	10263.64171	22470.45491
8	9935.459234	21949.97803
9	9588.087953	21386.74774
10	9330.058747	20950.08333
11	9094.927506	20530.49928
12	8891.376836	20216.6514
13	8730.249617	19908.2844
14	8552.275289	19604.23964
15	8455.871244	19365.38781
16	8324.436807	19175.26198
17	8226.892857	19024.15041
18	8165.473341	18894.62626
19	8085.093097	18769.41878
20	8004.718656	18627.26849
21	7937.292303	18523.55198
22	7870.102203	18383.45765
23	7804.878629	18300.12916
24	7755.515537	18231.32268
25	7697.146442	18128.89124
26	7614.848594	17984.82849
27	7523.795645	17878.69349
28	7471.119465	17805.74421
29	7420.651175	17727.82344
30	7361.343376	17634.05277
31	7359.873897	17618.17661
32	7303.394631	17558.45981
33	7284.683112	17509.47755
34	7263.578817	17452.02198
35	7250.517702	17426.18807
36	7249.231662	17415.06409
37	7222.443058	17381.14926
38	7221.291701	17371.80801
39	7188.678033	17303.29109
40	7163.618726	17266.12194
41	7138.661952	17209.80928
42	7136.437155	17200.66916
43	7117.294249	17186.47379
44	7099.72476	17122.70401
45	7083.069243	17111.62233
46	7081.058999	17102.17676
47	7065.490581	17088.45924
48	7063.928271	17083.52809
49	7041.98294	17033.86515
50	7019.669392	16962.00775
51	7010.439063	16911.30612
52	6996.227265	16844.24517
53	6988.715207	16830.12479
54	6987.888943	16826.60398
55	6984.193224	16787.2558
56	6963.602429	16695.18609
57	6954.019826	16656.29977
58	6929.785675	16592.07693
59	6918.353065	16525.90187
60	6906.74846	16480.65776
61	6903.663635	16463.5114
62	6894.451216	16437.80329
63	6885.939784	16408.8279
64	6877.153381	16390.20919
65	6864.556931	16340.20687
66	6857.507508	16322.76427
67	6854.274075	16296.49436
68	6845.520881	16247.41483
69	6845.125266	16244.76494
70	6832.411523	16201.75783
71	6832.618294	16201.20677
72	6828.771676	16181.81161
73	6827.649083	16173.84409
74	6821.97979	16168.28184
75	6820.020141	16163.80117
76	6811.159564	16112.20765
77	6810.435699	16110.33248
78	6802.622167	16080.3447
79	6793.681147	16042.90657
80	6782.428526	16031.37695
81	6782.497761	16030.87533
82	6771.979666	15963.56792
83	6767.17923	15938.26845
84	6750.171084	15917.72284
85	6743.360389	15893.78354
86	6733.693745	15861.44481
87	6730.260178	15851.98473
88	6717.620629	15796.79403
89	6713.363099	15792.87189
90	6707.71159	15779.4022
91	6701.250629	15763.68832
92	6695.828353	15743.62481
93	6692.364324	15725.22181
94	6689.892374	15707.58627
95	6686.225708	15695.19267
96	6684.970555	15691.61953
97	6681.599714	15675.39225
98	6678.815246	15664.76482
99	6667.82822	15617.31661
100	6661.182081	15588.55047
101	6652.056839	15549.27055
102	6651.805403	15548.84059
103	6645.970291	15536.06729
104	6645.000631	15527.55794
105	6639.345168	15502.83987
106	6634.130054	15479.43698
107	6633.007505	15466.91365
108	6629.821927	15460.48919
109	6628.888064	15449.51781
110	6625.255896	15433.3754
111	6623.280927	15410.33477
112	6622.981947	15399.20417
113	6622.103248	15395.79528
114	6621.370707	15391.25465
115	6615.569473	15380.119
116	6614.027582	15367.67666
117	6613.129746	15358.31228
118	6603.84255	15330.44295
119	6602.739026	15321.77613
120	6602.02479	15314.39386
121	6597.853253	15295.88346
122	6589.775162	15262.64611
123	6584.381102	15238.3445
124	6583.784579	15237.92626
125	6581.382629	15225.64266
126	6580.447514	15221.27475
127	6575.675647	15207.4365
128	6572.380546	15193.80874
129	6571.585898	15183.76953
130	6565.288555	15160.09806
131	6563.164868	15149.26696
132	6561.955198	15139.35095
133	6560.418026	15125.81858
134	6559.135979	15121.11068
135	6555.461133	15106.02117
136	6537.878763	15091.72592
137	6534.129062	15073.60883
138	6522.004045	15021.47399
139	6513.05032	15005.66474
140	6511.457877	15000.15915
141	6510.502301	14978.31083
142	6509.857345	14971.77614
143	6504.589491	14965.53402
144	6501.287688	14953.98767
145	6499.912305	14951.84967
146	6498.877549	14949.97837
147	6496.503023	14938.28688
148	6494.426857	14930.19818
149	6493.170243	14928.97567
150	6489.206206	14915.35652
151	6485.967973	14902.46185
152	6478.511996	14869.53685
153	6471.319279	14851.58423
154	6467.52889	14835.04626
155	6466.921891	14833.43514
156	6464.930719	14812.74135
157	6464.510852	14811.32847
158	6457.771722	14797.88876
159	6454.497485	14792.32412
160	6452.787044	14788.70697
161	6452.431803	14770.86481
162	6450.248804	14765.37915
163	6445.987714	14745.30417
164	6439.301341	14732.2897
165	6436.775784	14719.80305
166	6434.290399	14708.82321
167	6434.037681	14707.63591
168	6430.009707	14691.04569
169	6428.966064	14690.06266
170	6427.151716	14680.64447
171	6425.762882	14677.61001
172	6425.515075	14676.56262
173	6423.150329	14664.13581
174	6422.881874	14663.72546
175	6419.78072	14649.19316
176	6419.527371	14648.82152
177	6418.652194	14648.00039
178	6414.326023	14628.61037
179	6413.725389	14622.86192
180	6411.521237	14612.06718
181	6410.714589	14609.91595
182	6407.481958	14603.44239
183	6407.288661	14588.76791
184	6406.405321	14585.87198
185	6404.795632	14578.37692
186	6403.474912	14574.86348
187	6403.151913	14574.55006
188	6391.21404	14562.02327
189	6388.489075	14554.94258
190	6386.065255	14542.75034
191	6384.987906	14537.08525
192	6384.22709	14533.56754
193	6382.116161	14523.413
194	6381.654781	14521.55358
195	6381.182846	14519.84008
196	6380.947092	14519.55086
197	6378.766128	14508.48148
198	6374.752563	14493.10614
199	6370.479568	14476.11589
200	6369.618854	14473.15652
201	6366.17672	14458.70407
202	6363.078979	14445.40238
203	6361.116954	14433.75571
204	6360.859497	14433.50168
205	6357.274274	14421.03715
206	6357.102487	14420.79969
207	6356.151895	14419.7504
208	6355.737741	14419.20073
209	6355.457405	14418.89679
210	6355.228775	14418.60037
211	6355.012242	14418.21246
212	6354.361298	14417.42134
213	6351.480829	14409.06518
214	6351.015498	14400.70744
215	6349.034398	14396.92751
216	6348.766259	14396.53452
217	6347.680679	14381.17315
218	6342.588495	14368.65701
219	6342.472638	14368.34922
220	6342.262454	14368.17321
221	6341.867711	14361.72178
222	6339.19342	14346.80555
223	6325.142665	14338.31828
224	6325.151799	14338.05845
225	6322.363704	14326.63035
226	6322.150036	14326.30418
227	6322.191381	14326.07915
228	6319.085047	14313.22275
229	6319.149575	14313.02513
230	6318.893961	14312.48109
231	6314.967297	14309.37403
232	6314.72123	14308.9071
233	6314.621891	14308.69613
234	6311.831441	14295.95614
235	6310.266823	14291.20851
236	6309.355811	14279.74157
237	6305.572609	14268.07403
238	6303.766512	14250.72899
239	6299.967589	14227.8398
240	6296.996665	14224.23117
241	6296.915015	14224.02585
242	6296.030117	14216.58027
243	6295.905013	14216.31596
244	6295.837687	14216.11502
245	6291.620718	14201.72972
246	6284.622453	14188.14753
247	6281.386188	14166.91176
248	6278.600033	14155.83336
249	6275.581084	14142.87044
250	6273.337106	14139.16019
251	6273.241136	14138.86492
252	6270.170589	14120.38892
253	6266.209814	14106.3633
254	6265.691146	14100.75002
255	6265.200793	14096.25649
256	6265.22644	14096.0449
257	6262.929522	14089.05207
258	6262.948281	14088.85577
259	6259.602901	14082.50907
260	6257.772728	14076.18263
261	6252.868894	14070.83069
262	6252.166967	14070.34482
263	6250.173629	14050.58044
264	6248.470732	14043.399
265	6245.635674	14030.8949
266	6245.578186	14030.72684
267	6243.234712	14020.69499
268	6239.88044	14009.67102
269	6238.902969	13995.84446
270	6229.124027	13989.51014
271	6229.356087	13988.94025
272	6226.097161	13965.98476
273	6226.354634	13965.73739
274	6223.714887	13957.86872
275	6221.931341	13953.15408
276	6219.819265	13946.46461
277	6218.360443	13940.69673
278	6216.815187	13939.91214
279	6216.783656	13939.6742
280	6213.425778	13926.29796
281	6213.525666	13926.12119
282	6212.893416	13917.80915
283	6213.149837	13917.2994
284	6213.237245	13917.12469
285	6213.313811	13916.96738
286	6210.745634	13908.36105
287	6210.484894	13908.23953
288	6209.840497	13907.80529
289	6208.061152	13890.07906
290	6206.184231	13881.41219
291	6205.942877	13879.19152
292	6205.917269	13879.07008
293	6197.433508	13870.32807
294	6196.835532	13868.97503
295	6196.148966	13868.66836
296	6193.249639	13858.02339
297	6192.108901	13854.79418
298	6190.543963	13847.07934
299	6190.321949	13846.90938
300	6188.202771	13827.05733
301	6187.62588	13825.80514
302	6187.679664	13825.66663
303	6186.817894	13821.54287
304	6183.031148	13803.88524
305	6183.084565	13803.75292
306	6183.354061	13803.33175
307	6180.245116	13785.25723
308	6180.486115	13784.57729
309	6179.938909	13783.43035
310	6176.721268	13773.50753
311	6175.38362	13766.65775
312	6173.027945	13759.79757
313	6171.9891	13752.32943
314	6171.672546	13751.76244
315	6169.923545	13748.20842
316	6167.403041	13742.08235
317	6167.031443	13741.71051
318	6165.268099	13731.79115
319	6164.690179	13730.77349
320	6157.826128	13703.9604
321	6157.877692	13703.83326
322	6154.250427	13695.6467
323	6152.753767	13692.47996
324	6151.149924	13680.91512
325	6147.877353	13666.04435
326	6147.793356	13665.47439
327	6145.615076	13655.56623
328	6145.315676	13655.35346
329	6143.784969	13653.29633
330	6142.390737	13633.12955
331	6142.252954	13622.78031
332	6142.322317	13622.64671
333	6141.992629	13622.42934
334	6139.65368	13614.75092
335	6133.168054	13609.64449
336	6132.352575	13591.4048
337	6131.86182	13590.42478
338	6131.034139	13589.63492
339	6130.745565	13588.52147
340	6130.808497	13588.39626
341	6129.649048	13583.82278
342	6129.509572	13582.00758
343	6129.569903	13581.89013
344	6129.749874	13565.94723
345	6128.736794	13559.6083
346	6126.823852	13553.12598
347	6122.283133	13540.69304
348	6122.061266	13540.0494
349	6122.105085	13539.94465
350	6121.092212	13535.9604
351	6118.781804	13528.34626
352	6117.105878	13523.0078
353	6117.146297	13522.9141
354	6117.177758	13522.82709
355	6114.429277	13509.26144
356	6112.153099	13505.45778
357	6108.791783	13496.55064
358	6108.376149	13494.17249
359	6103.119466	13489.163
360	6103.46954	13488.79672
361	6101.573147	13485.15049
362	6100.253791	13477.76048
363	6099.669848	13474.39763
364	6099.652525	13474.31513
365	6098.772669	13470.16256
366	6098.761578	13470.08362
367	6098.290603	13467.15118
368	6098.28188	13467.07678
369	6096.085033	13458.80633
370	6093.591934	13449.33322
371	6088.989759	13443.64073
372	6089.016986	13442.1419
373	6088.973136	13442.07253
374	6084.689042	13421.86788
375	6083.860245	13418.93997
376	6081.599537	13410.43351
377	6081.094792	13408.54402
378	6078.524909	13395.98347
379	6076.679445	13387.32117
380	6076.622747	13373.16402
381	6075.486296	13368.51727
382	6074.000951	13363.16846
383	6073.579413	13361.75125
384	6073.788457	13349.41489
385	6073.343485	13348.13394
386	6073.216914	13345.11069
387	6069.132561	13325.41913
388	6069.073223	13323.91312
389	6067.16591	13317.57206
390	6066.108194	13311.52352
391	6063.923298	13304.95052
392	6063.487971	13303.03495
393	6061.869003	13298.49328
394	6060.391712	13290.31023
395	6058.550005	13280.77632
396	6058.122104	13279.51376
397	6056.590343	13271.32153
398	6054.485649	13270.31954
399	6049.864339	13258.30423
400	6048.640672	13254.58785
401	6046.518943	13244.13694
402	6044.741311	13237.45108
403	6040.732503	13201.8368
404	6040.264684	13200.78844
405	6038.0428	13191.12598
406	6034.885981	13176.91498
407	6035.355486	13174.88752
408	6034.182919	13170.09138
409	6033.242839	13167.88071
410	6032.926161	13164.99704
411	6030.747356	13156.08905
412	6029.091318	13149.35667
413	6028.095132	13146.57283
414	6026.486724	13140.19215
415	6026.04126	13139.9519
416	6022.53576	13136.1946
417	6022.236727	13136.05362
418	6022.244934	13136.02175
419	6020.533729	13131.784
420	6021.070159	13125.07894
421	6020.491324	13123.57359
422	6019.013371	13117.26921
423	6017.968642	13113.82916
424	6018.020176	13104.11559
425	6018.006862	13104.01648
426	6016.216883	13101.66744
427	6014.330148	13094.36061
428	6012.947585	13086.26693
429	6013.197902	13085.7563
430	6011.978509	13080.54343
431	6009.932931	13072.88
432	6008.489451	13069.52239
433	6006.974183	13066.22522
434	6005.001688	13059.24424
435	6004.77339	13058.48261
436	6003.631	13054.35634
437	6002.033493	13049.23011
438	6000.800403	13043.97275
439	5999.582107	13038.75102
440	5998.59032	13036.69645
441	5997.878062	13034.94857
442	5997.129461	13026.33834
443	5996.174304	13023.09954
444	5993.07134	12998.03636
445	5991.824944	12994.84722
446	5989.184747	12983.15885
447	5987.711313	12977.10917
448	5984.392836	12969.12953
449	5984.235516	12968.78655
450	5982.758326	12965.21203
451	5975.755716	12961.37491
452	5975.571002	12959.44584
453	5974.685573	12956.02412
454	5973.214721	12953.3372
455	5968.6204	12934.79716
456	5969.64159	12929.00302
457	5968.932335	12926.5839
458	5965.618994	12916.05508
459	5964.524121	12912.31687
460	5963.471944	12908.31892
461	5963.164535	12906.83463
462	5962.181315	12896.48675
463	5962.421685	12894.18698
464	5959.57027	12890.00673
465	5958.229533	12879.59078
466	5958.110234	12879.45681
467	5954.503048	12877.45302
468	5951.982968	12873.55567
469	5952.065123	12871.83313
470	5951.025407	12868.69462
471	5950.044786	12863.04594
472	5949.22289	12858.10831
473	5948.645224	12855.97471
474	5947.2086	12852.18965
475	5946.260191	12847.58363
476	5945.188375	12845.04806
477	5944.888128	12844.70225
478	5943.86772	12840.19381
479	5941.935456	12827.1389
480	5941.708752	12826.90291
481	5940.916856	12824.29404
482	5939.165619	12808.42633
483	5939.533733	12803.33164
484	5939.03708	12796.78764
485	5938.10439	12793.77573
486	5938.87079	12793.17338
487	5938.615725	12790.8942
488	5938.724366	12790.44207
489	5937.029075	12780.72995
490	5935.476253	12778.09414
491	5935.180183	12775.70149
492	5926.739028	12753.9764
493	5923.951968	12750.06542
494	5920.718848	12742.32727
495	5920.230426	12740.96021
496	5915.373563	12723.10444
497	5913.946462	12719.56853
498	5912.463743	12702.81182
499	5908.129828	12685.80531
500	5904.580105	12677.18422
501	5904.632839	12675.13865
502	5904.460683	12673.98731
503	5903.228737	12669.16858
504	5902.944725	12668.93913
505	5902.038902	12664.44557
506	5899.947103	12656.90918
507	5899.831163	12656.79868
508	5896.192476	12648.82381
509	5893.399806	12642.32
510	5893.124881	12641.83566
511	5892.599034	12640.15238
512	5890.407321	12634.53574
513	5890.038765	12634.36433
514	5888.060458	12630.06338
515	5882.00793	12626.32327
516	5880.770637	12625.11835
517	5879.674035	12618.4759
518	5875.993809	12607.43832
519	5871.971417	12604.38581
520	5871.417456	12595.87023
521	5867.528682	12584.42654
522	5865.366031	12578.53977
523	5864.263036	12573.15825
524	5862.270489	12563.04436
525	5860.372742	12556.34009
526	5859.172477	12554.7799
527	5858.107362	12549.73964
528	5857.598176	12549.2355
