iter	Passed	Remaining
0	52	52450
1	56	27955
2	59	19674
3	61	15432
4	65	13055
5	68	11403
6	71	10126
7	74	9190
8	76	8454
9	79	7868
10	82	7402
11	85	7071
12	88	6752
13	91	6456
14	94	6204
15	96	5964
16	99	5757
17	103	5622
18	106	5481
19	108	5337
20	111	5198
21	114	5080
22	119	5079
23	125	5101
24	127	4977
25	130	4887
26	133	4800
27	136	4723
28	138	4631
29	140	4552
30	142	4460
31	144	4356
32	146	4284
33	148	4226
34	151	4169
35	153	4108
36	154	4019
37	157	3975
38	158	3899
39	160	3861
40	163	3824
41	166	3797
42	167	3728
43	169	3687
44	171	3646
45	174	3627
46	177	3591
47	180	3583
48	182	3536
49	186	3537
50	188	3501
51	190	3471
52	192	3445
53	194	3414
54	195	3366
55	198	3338
56	201	3328
57	204	3314
58	205	3284
59	208	3262
60	210	3239
61	213	3230
62	216	3218
63	221	3237
64	224	3233
65	226	3209
66	228	3186
67	231	3176
68	235	3172
69	237	3149
70	239	3137
71	242	3121
72	244	3108
73	249	3125
74	252	3115
75	255	3100
76	257	3084
77	259	3071
78	261	3049
79	263	3034
80	266	3023
81	268	3002
82	270	2985
83	272	2976
84	275	2962
85	277	2950
86	280	2940
87	282	2928
88	284	2910
89	287	2902
90	289	2895
91	292	2885
92	295	2879
93	303	2925
94	309	2946
95	313	2951
96	317	2958
97	320	2954
98	323	2941
99	326	2937
100	329	2931
101	332	2928
102	334	2913
103	337	2905
104	339	2895
105	342	2890
106	345	2879
107	347	2870
108	350	2863
109	352	2852
110	355	2846
111	358	2839
112	360	2831
113	363	2826
114	366	2820
115	368	2811
116	371	2800
117	372	2787
118	375	2776
119	376	2764
120	379	2755
121	382	2752
122	385	2747
123	387	2739
124	390	2732
125	393	2728
126	396	2724
127	400	2725
128	403	2721
129	407	2729
130	413	2740
131	419	2756
132	422	2753
133	425	2752
134	429	2748
135	431	2743
136	434	2735
137	436	2724
138	438	2718
139	440	2708
140	444	2705
141	447	2704
142	449	2693
143	451	2684
144	454	2679
145	456	2672
146	459	2667
147	462	2663
148	465	2658
149	468	2653
150	470	2644
151	472	2638
152	475	2630
153	477	2623
154	480	2619
155	482	2611
156	485	2604
157	486	2594
158	489	2587
159	491	2581
160	494	2576
161	497	2571
162	499	2566
163	501	2558
164	509	2580
165	514	2584
166	517	2579
167	519	2574
168	523	2572
169	527	2577
170	530	2571
171	533	2568
172	535	2559
173	538	2555
174	540	2547
175	542	2539
176	544	2530
177	546	2521
178	548	2514
179	551	2510
180	553	2503
181	556	2500
182	558	2494
183	561	2491
184	563	2484
185	565	2476
186	568	2470
187	570	2463
188	573	2462
189	576	2458
190	579	2453
191	581	2446
192	583	2438
193	586	2434
194	587	2427
195	590	2420
196	591	2412
197	593	2405
198	596	2402
199	599	2397
200	604	2402
201	608	2404
202	610	2397
203	613	2394
204	615	2388
205	618	2384
206	621	2379
207	623	2374
208	625	2366
209	627	2359
210	629	2352
211	631	2346
212	633	2340
213	636	2337
214	641	2340
215	643	2334
216	645	2327
217	648	2324
218	650	2321
219	652	2314
220	654	2307
221	657	2304
222	660	2300
223	662	2296
224	665	2291
225	668	2289
226	670	2282
227	672	2275
228	674	2272
229	676	2265
230	678	2259
231	680	2253
232	683	2248
233	685	2243
234	687	2238
235	690	2235
236	693	2231
237	695	2228
238	700	2229
239	705	2234
240	707	2229
241	709	2222
242	711	2217
243	713	2211
244	715	2204
245	718	2202
246	720	2197
247	722	2191
248	725	2187
249	728	2184
250	729	2178
251	731	2171
252	733	2165
253	735	2160
254	737	2155
255	739	2149
256	741	2143
257	744	2139
258	747	2137
259	749	2133
260	751	2128
261	753	2123
262	756	2119
263	758	2114
264	760	2109
265	763	2105
266	765	2100
267	768	2098
268	771	2095
269	773	2090
270	775	2086
271	778	2084
272	782	2083
273	784	2078
274	787	2076
275	790	2073
276	796	2077
277	801	2082
278	804	2079
279	807	2075
